id,face,im,hemifield,response,rt,correct,location,radius,angle,cols,pch,col1,angle2,group,gcol
o3,58,Intact,RVF,right,4.183825,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,69,Mirror reversed,LVF,right,3.73365,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,50,Mirror reversed,RVF,left,4.70174,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,4,Mirror reversed,LVF,right,2.04625,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,71,Mirror reversed,RVF,right,5.3499,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,31,Intact,LVF,right,4.900565,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,44,Intact,RVF,left,2.783535,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,42,Intact,LVF,left,3.666835,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,39,Mirror reversed,LVF,right,2.400605,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,4,Mirror reversed,RVF,left,1.530595,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,37,Intact,RVF,right,1.565585,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,39,Mirror reversed,RVF,left,4.936305,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,79,Mirror reversed,LVF,left,1.999875,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,82,Mirror reversed,LVF,left,4.71888,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,80,Intact,LVF,right,8.295665,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,44,Mirror reversed,LVF,right,1.6831,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,79,Intact,LVF,left,1.333435,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,38,Intact,RVF,right,5.170165,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
