id,TrialNumber,im,faceNumber,hemifield,aoi,dwellTime,nFixations,nDwells,fixX,fixY,firstFixNum,lastFixNum,fix0X,fix0Y,fix1X,fix1Y,lastFixX,lastFixY,face,hem,angle,group,col,angle2,correct
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,28,Mirror reversed,O68,RVF,3. right,2489,3,3,0.594594595,0.540540541,1,7,0.216216216,1.189189189,0.567567568,0.567567568,337,18,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,29,Mirror reversed,O62,LVF,1. left,1149,2,1,0.459459459,0.432432432,3,4,0.297297297,0.918918919,1.324324324,0.351351351,-305,16,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,29,Mirror reversed,O62,LVF,2. center,1889,3,3,0.324324324,0.810810811,2,5,0.297297297,0.918918919,0.243243243,0.702702703,19,24,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,29,Mirror reversed,O62,LVF,3. right,1124,2,2,0.459459459,0.567567568,1,6,0.297297297,0.918918919,0.324324324,0.567567568,355,20,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,30,Intact,O67,RVF,1. left,574,1,1,0.756756757,0.594594595,3,3,0.216216216,0.972972973,0.756756757,0.594594595,-292,22,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,30,Intact,O67,RVF,2. center,1706,3,3,0.324324324,0.891891892,2,4,0.216216216,0.972972973,0.378378378,0.918918919,24,20,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,30,Intact,O67,RVF,3. right,1157,2,2,0.702702703,0.621621622,1,5,0.216216216,0.972972973,0.648648649,0.621621622,350,24,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,31,Intact,O4,RVF,1. left,1257,2,2,0.702702703,0.783783784,3,5,0.027027027,1.162162162,0.567567568,0.756756757,-285,32,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,31,Intact,O4,RVF,2. center,1273,2,2,0.027027027,1,2,2,0.027027027,1.162162162,0,0.837837838,0,31,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,31,Intact,O4,RVF,3. right,1523,2,2,0.405405405,0.810810811,1,4,0.027027027,1.162162162,0.702702703,0.756756757,327,32,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,32,Intact,O42,RVF,1. left,882,1,1,0.864864865,0.297297297,4,4,0.648648649,0.756756757,0.864864865,0.297297297,-288,11,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,32,Intact,O42,RVF,2. center,2223,3,3,0.459459459,0.756756757,3,5,0.648648649,0.756756757,0.432432432,0.675675676,5,31,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,32,Intact,O42,RVF,3. right,1573,3,2,0.540540541,0.432432432,1,6,0.648648649,0.756756757,0.783783784,0.378378378,342,22,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
